fluid,Z,K_is,Vr,Ns,reaction,AR,etaTT,etaTS,PratioTT,N,Z0,Z2,Z3,V0_div_U0,W0_div_U0,V2_div_U2,W2_div_U2,V3_div_U3,W3_div_U3,H0_div_Rm,H1_div_Rm,H3_div_Rm,H_div_CaxSt,H_div_CaxRt,SolidSt,SolidRt,Delta etaTT profile,Delta etaTT mixing,Delta etaTT shock,Delta etaTT endwall,Delta etaTT leakage,Gamma_ratio_0,Gamma_ratio_1,Gamma_ratio_2,Gamma_ratio_3,Gamma_0,Gamma_1,Gamma_2,Gamma_3,M abs 0,M abs 1,M abs 2,M abs 3,M rel 2,M rel 3,P stat 0,P stat 1,P stat 2,P stat 3,P tot 0,P tot 1,P tot 2,P tot 3,T stat 0,T stat 1,T stat 2,T stat 3,T tot 0,T tot 1,T tot 2,T tot 3
R1336mzz(Z),0.87,1.7,6.7,0.98,0.5,3,0.8508777550492518,0.8150297982678418,6.13513202750793,39.92878843856459,0.8773743692848928,0.9420006975561904,0.9742539204643779,0.2845629106604402,0.0,0.8786309891949907,0.27403224880317917,0.26299076359246326,0.8861793889352427,0.08159677984738586,0.2123966311710325,0.5621421447614079,1.293394537018866,1.2644317791584894,1.1191633833475871,0.9530886002290181,1.078719220484048,5.280941907848325,1.344524440633721,3.362630152718138,3.5856223046216606,0.8682598692807582,0.9397334195862692,0.9397334195862692,0.9737884939337457,1.0926422307437471,1.0676076894856403,1.0676076894856403,1.0583966891599448,0.3857795215453203,1.303971154334285,1.303971154334285,0.39825462939625145,0.4364861468659639,1.2790975859462836,1081899.0256977156,447591.5312129509,447591.5312129509,174398.4405710574,1161200.0,1049498.4676056914,1049498.4676056914,189270.5804526387,463.4811547459268,440.41241638502635,442.2420761356131,419.1020079154581,465.5129584816301,464.43167435544547,464.43167435544547,426.39822895038344
R1336mzz(Z),0.87,2.2,1.3,0.52,0.5,3,0.5714950730937579,0.5582395232452804,1.2758980723452074,39.92878843856459,0.8701512290821268,0.8838808862459508,0.8960810629525249,0.2762908301203237,0.0,0.820896639394148,0.19862789743300235,0.2113017457840991,0.8064006157218802,0.1754805034173941,0.25778143947977183,0.30836513939517596,3.0,3.0,0.7080234913880279,0.6096389220879547,3.18594159377088,28.839897010926684,0.0,7.110678256907255,2.970232896793712,0.86005005523598,0.8756754270490554,0.8756754270490554,0.8894329557387229,1.0960511153520849,1.0896388280297327,1.0896388280297327,1.0843101963808166,0.05471437748366735,0.4026354022757096,0.4026354022757096,0.10950203247269867,0.11505448215402447,0.38196645855269046,1159562.630209456,1022585.7902437684,1022585.7902437684,904305.7341199059,1161200.0,1105992.1967648063,1105992.1967648063,910104.0476263259,465.47205216702014,461.88467303537925,462.7539274610961,458.489978067241,465.5129584816301,464.97735862694174,464.97735862694174,460.57163610592886
R1336mzz(Z),0.87,2.2,1.3,0.63,0.5,3,0.7585057514837119,0.7496392953423459,1.2803054929076505,39.92878843856459,0.8702903836290767,0.8834647454837761,0.8953118308643246,0.18402247884892373,0.0,0.9309609056041869,0.15110765130214016,0.1583863614218883,0.9119802333428995,0.1757226269923619,0.2263516032070227,0.2665830310526504,3.0,3.0,0.9735908916178092,0.8606797060237654,2.954841975399769,15.475027026842891,0.0,3.1409725630792806,2.5004091866677958,0.860208544961508,0.8751811729789066,0.8751811729789066,0.8885337259156839,1.0959841387410418,1.0898479711274542,1.0898479711274542,1.084681975530731,0.0758310934759014,0.45671313876990227,0.45671313876990227,0.0778215646349951,0.10259327098483251,0.4398027684336648,1158056.402397464,1022602.3499212892,1022602.3499212892,904305.7775878625,1161200.0,1130570.8503210791,1130570.8503210791,906971.0365475705,465.4343849408912,461.8851972970773,462.36128461523504,458.48997937739324,465.5129584816301,465.21556065415916,465.21556065415916,459.65617958961656
R1336mzz(Z),0.87,2.2,1.3,0.75,0.5,3,0.832345599949898,0.8181337490964679,1.2786315153334666,39.92878843856459,0.8705519647273599,0.8832997752825602,0.8949947569483981,0.21424017973407392,0.0,0.9705574740322785,0.19720065334133782,0.19370510577418595,0.9668349520751508,0.1761792565149983,0.21689363775090106,0.25294655339667477,3.0,3.0,1.070568747066489,0.9801842611701518,2.3905301456417116,9.741099991892977,0.0,2.6674378590286096,1.9783249858088658,0.86050643846248,0.8749853414890546,0.8749853414890546,0.8881626303624467,1.0958583771251644,1.0899307788790782,1.0899307788790782,1.084835744714154,0.1045834224550701,0.4760558376428758,0.4760558376428758,0.09392966217867021,0.12011189584293155,0.46740142750852626,1155226.0766356562,1022633.642437486,1022633.642437486,904305.8434202326,1161200.0,1140314.4820454603,1140314.4820454603,908158.4382011415,465.36350830880485,461.8861855521849,462.2091872751415,458.4899813616169,465.5129584816301,465.3101006676582,465.3101006676582,459.35546790843375
R1336mzz(Z),0.87,2.2,1.3,0.81,0.5,3,0.8528137497018744,0.8333564287393217,1.2768120612060154,39.92878843856459,0.8707394948502258,0.8832510216712084,0.8949046349724611,0.24456914554786016,0.0,0.9815016557999036,0.22987538458464665,0.22417189785712727,0.9865619086651739,0.17650784145069295,0.21440017879444595,0.24932170463190578,3.0,3.0,1.102668316582354,1.0204087444897856,2.1714581265668054,8.065676148042789,0.0,2.6501485406676295,1.8593609915956488,0.8607199742049761,0.8749275727435262,0.8749275727435262,0.8880571073164111,1.0957683299215681,1.0899551337641937,1.0899551337641937,1.084879506386685,0.12108202101714709,0.48145398917765647,0.48145398917765647,0.10853492775196683,0.13307672203075513,0.4771692759802525,1153197.842443626,1022656.1834227245,1022656.1834227245,904305.8782989733,1161200.0,1143130.874706876,1143130.874706876,909452.5617992567,465.3126395266742,461.8868954706557,462.1659348799532,458.4899824128778,465.5129584816301,465.3374390847048,465.3374390847048,459.2989358682497
R1336mzz(Z),0.87,2.2,1.3,0.98,0.5,3,0.8891370082696053,0.8446372195609777,1.2681981604958643,39.92878843856459,0.8715457433357837,0.8831609077460435,0.8947386348524237,0.35295276010129384,0.0,1.0002551362913987,0.34132435663331623,0.3321795893690776,1.041460494676164,0.17793222565297676,0.21025584662981645,0.24253766337115218,3.0,3.0,1.181484907404141,1.107622643929691,1.7242049730366693,5.19361072911787,0.0,2.8086801964639196,1.4122800489156262,0.8616377692141349,0.8748212637713058,0.8748212637713058,0.8878626849405301,1.0953822585143633,1.0899996243598797,1.0899996243598797,1.0849601784026341,0.17524046839788673,0.4905991332362186,0.4905991332362186,0.1607189185655262,0.18056217953259018,0.5041239883861788,1144485.9886038087,1022754.1798188502,1022754.1798188502,904305.9047865089,1161200.0,1148018.8648039047,1148018.8648039047,915629.7778779082,465.0933967880762,461.88996319167654,462.0930063291269,458.4899832112225,465.5129584816301,465.38489868752777,465.38489868752777,459.30834421694135
R1336mzz(Z),0.87,2.2,1.7,0.52,0.5,3,0.7413975043423211,0.7345390483839748,1.6586100248093034,39.92878843856459,0.870310285746806,0.8961087788469895,0.9166798550007853,0.16271844427990656,0.0,0.9305718771357712,0.11480691089990466,0.1380558544840762,0.8946069786112573,0.1532663939416388,0.22737185652615405,0.31017129747011246,2.9572883738588365,3.0,0.9686100793461119,0.8280914070663513,3.8618196462315346,14.307692464110255,0.0,3.5427110648180937,3.9742339597189646,0.860231211414351,0.8894126061224256,0.8894126061224256,0.9122801318881317,1.0959745638699987,1.0843654947107748,1.0843654947107748,1.0761800328675277,0.07838866257775208,0.6456905854461124,0.6456905854461124,0.0987124916825196,0.11586263796868841,0.6047505810424086,1157841.0112797306,895533.140938923,895533.140938923,696757.1036156069,1161200.0,1096150.2276657405,1096150.2276657405,700104.2937344525,465.4289955932319,458.21065757098313,459.2441313500006,451.58004993082676,465.5129584816301,464.8821362895893,464.8821362895893,454.1594753670007
R1336mzz(Z),0.87,2.2,1.7,0.63,0.5,3,0.8347443680893661,0.8270165479762069,1.6587460175272644,39.92878843856459,0.870595447221049,0.8957367301033268,0.9160218428072312,0.15765083663162033,0.0,0.9779840230578144,0.13951489154630328,0.14207913100733263,0.9549321876598167,0.15370073170438575,0.21596831030361718,0.29037932941722194,3.0,3.0,1.074815781455743,0.9612647847340282,3.0249836605331537,8.112935924876163,0.0,2.4806836748779704,2.8864972252507726,0.8605559528821116,0.8889784179140081,0.8889784179140081,0.9115319901887476,1.0958374895685419,1.0845449204558117,1.0845449204558117,1.0764832774898008,0.10863083688362071,0.6797565724983032,0.6797565724983032,0.09797817464718576,0.1341379751034823,0.6500242337054536,1154755.7276464005,895556.2976311769,895556.2976311769,696757.192823859,1161200.0,1120657.9361666113,1120657.9361666113,700046.8955042502,465.35171761335744,458.21165061859836,458.84712879320716,451.5800532379254,465.5129584816301,465.11945939284806,465.11945939284806,453.27014471862867
R1336mzz(Z),0.87,2.2,1.7,0.75,0.5,3,0.8784480966830777,0.8635505077887368,1.6523187550246952,39.92878843856459,0.8711305822688168,0.8955583246971642,0.9157041053382929,0.20858163118993,0.0,0.999208604450941,0.19784908198564968,0.19347020942450405,0.9918596894340218,0.15452133081216818,0.2111472398968838,0.28141804273170806,3.0,3.0,1.1303556291340937,1.0396275847055827,2.365337588337546,5.126965791606719,0.0,2.3830009349979697,2.2915907408085023,0.8611652222874879,0.8887705258250954,0.8887705258250954,0.9111703443621827,1.0955808416949715,1.084630527786906,1.084630527786906,1.0766301420624915,0.1497899495146308,0.6951395354936675,0.6951395354936675,0.13234890967144172,0.16730529294133292,0.6770014450907247,1148970.3294534783,895600.278801042,895600.278801042,696757.3279320261,1161200.0,1132375.2038273774,1132375.2038273774,702769.9688506199,465.2064016348012,458.21352387548296,458.66245252899563,451.5800582465743,465.5129584816301,465.2330699607892,465.2330699607892,452.94526872917714
R1336mzz(Z),0.87,2.2,1.7,0.81,0.5,3,0.8921875821468122,0.8714974484322288,1.6471167585220867,39.92878843856459,0.8715134966131579,0.8955023596086346,0.9156018422890038,0.24166271572236184,0.0,1.0054153924817115,0.23196761727995402,0.2263420806284763,1.0080927538849258,0.15511300837848221,0.20974478206340239,0.2785238727625354,3.0,3.0,1.1525397375183468,1.0708187772516764,2.122393873186701,4.253191586668226,0.0,2.4026519824615677,2.021657703964641,0.861601069195971,0.8887055154648406,0.8887055154648406,0.9110538958018473,1.095397666594113,1.0846570972427687,1.0846570972427687,1.0766774705422126,0.17339565657769174,0.6997133713881644,0.6997133713881644,0.15474316889797377,0.1874725579814917,0.6885936837078525,1144834.1744730766,895632.1381650895,895632.1381650895,696757.3995138272,1161200.0,1135946.9204005813,1135946.9204005813,704989.4878380774,465.1021826180028,458.21487059273124,458.60740882912177,451.58006090019455,465.5129584816301,465.2677202122795,465.2677202122795,452.89040397952766
R1336mzz(Z),0.87,2.2,1.7,0.98,0.5,3,0.9136392708670859,0.867017301780509,1.6240438483418065,39.92878843856459,0.873152828547882,0.8953968983576512,0.9154324127785725,0.3526936052691093,0.0,1.0161044618666384,0.34439456464335144,0.335650237449237,1.0531150334772579,0.15768934683363528,0.20737849190133828,0.27376426001052845,3.0,3.0,1.2104795663619579,1.1333297271581855,1.6532695273373976,2.8464746024281173,0.0,2.579406308853527,1.5895346398715704,0.8634659269902603,0.8885839366523623,0.8885839366523623,0.9108609058541552,1.0946178578096406,1.084705894273847,1.084705894273847,1.0767559501712674,0.2508031892695696,0.7074541942795196,0.7074541942795196,0.22957552746555,0.25726008710880666,0.7204891551431375,1127160.1775849978,895772.348987893,895772.348987893,696757.4538744577,1161200.0,1142137.385714114,1142137.385714114,715005.3252476016,464.6537164440101,458.22070017392235,458.51601649873766,451.5800629153978,465.5129584816301,465.3277964794473,465.3277964794473,453.0302694418982
R1336mzz(Z),0.87,2.2,2.1,0.52,0.5,3,0.7336124754834014,0.7265248703166729,2.0381779485451443,39.92878843856459,0.8704379118540848,0.9052529755712122,0.930626412968439,0.1657039133530047,0.0,0.9274957035065075,0.11657443487153626,0.14014310984560713,0.8917707473498993,0.13768114557384012,0.22899553367580291,0.3458501757073434,2.3173588977299033,2.6890673983500264,0.9698529233828556,0.8175281174929272,3.583180093663041,15.000962568931019,0.0,3.758136826433578,4.08114835674035,0.8603765583013163,0.899614404950013,0.899614404950013,0.9275276561947029,1.0959131883796256,1.0806314909600374,1.0806314909600374,1.071154821827054,0.09314013305134453,0.7582987203331311,0.7582987203331311,0.11938656200756197,0.13597508532685526,0.7084161608467594,1156459.9659291923,805593.0198510869,805593.0198510869,565683.6891178929,1161200.0,1066752.5488141584,1066752.5488141584,569724.5428589133,465.394422762649,455.35271039828785,456.88077998658594,446.30009235424086,465.5129584816301,464.5980235021081,464.5980235021081,450.1043047472052
R1336mzz(Z),0.87,2.2,2.1,0.63,0.5,3,0.8307308801095775,0.8229518197927144,2.038976631718883,39.92878843856459,0.8708399688020092,0.9047441895009541,0.9298137744692996,0.15845378566356097,0.0,0.9769866510212704,0.1396064468047689,0.14253603605509177,0.9531485186285072,0.13823225570948264,0.21661903429284787,0.32333779754728437,2.6136230051506217,2.860751581237535,1.0795498151849496,0.9558048031873206,2.8305038025177365,8.500570451683043,0.0,2.4704636658594237,3.0901605959126166,0.860834371978961,0.8990281150551449,0.8990281150551449,0.9266216957852077,1.0957201235207257,1.0808708845294472,1.0808708845294472,1.0715237199893712,0.12906246595643803,0.8014768617466093,0.8014768617466093,0.11638531978007986,0.15763694951205257,0.7633198052768125,1152111.459027039,805615.9543818777,805615.9543818777,565683.8150264677,1161200.0,1102852.2063343416,1102852.2063343416,569501.3772772343,465.2853657921053,455.3540386141115,456.27901706121077,446.3000978985566,465.5129584816301,464.9470010308584,464.9470010308584,448.77093623685596
R1336mzz(Z),0.87,2.2,2.1,0.75,0.5,3,0.8794067284869305,0.8645075855910896,2.028068652041724,39.92878843856459,0.871593443807736,0.9044821412773096,0.929379896151107,0.20870921249062466,0.0,0.9990695578634923,0.1978359208001125,0.1934259426653796,0.9910265754116258,0.13927497112919385,0.21114132142506692,0.31193454641798,2.8151275249363947,2.9539390909629413,1.1350459203225463,1.0360054753631933,2.2075060862509988,5.117817533312907,0.0,2.2960228327611354,2.442472195407286,0.8616920559096793,0.8987267538231903,0.8987267538231903,0.9261373217881479,1.0953594714187436,1.0809935412952392,1.0809935412952392,1.0717213987440903,0.17793486933053307,0.8223970183699645,0.8223970183699645,0.15607416831847487,0.19841270602113342,0.7988946782032635,1143970.9787228997,805659.7930741896,805659.7930741896,565684.0057204615,1161200.0,1121746.138486908,1121746.138486908,572564.4439259891,465.0803978736476,455.3565452763457,455.97523015515526,446.3001062955742,465.5129584816301,465.12999917294684,465.12999917294684,448.2059871639955
R1336mzz(Z),0.87,2.2,2.1,0.81,0.5,3,0.892865076792621,0.8721796929555303,2.0190817219731954,39.92878843856459,0.8721317675398575,0.9044136747421175,0.9292640920750947,0.2417178301225521,0.0,1.0055409121542538,0.2319850528440415,0.2262453256337674,1.007432063749197,0.14002801312659874,0.209765877487244,0.30885268823706713,2.895895920505931,2.9899498529555877,1.1564486671953036,1.0675084451730057,1.9861926042499478,4.295084077904788,0.0,2.2884379055832738,2.15603492620714,0.8623046051120006,0.8986481902211717,0.8986481902211717,0.9260079604561365,1.095102726693838,1.0810251820867265,1.0810251820867265,1.071774245527581,0.20595297533629225,0.8275909624595963,0.8275909624595963,0.1825091873730842,0.22200711502883202,0.8122629464728671,1138162.0402985886,805691.772366296,805691.772366296,565684.1067522626,1161200.0,1126524.9776471741,1126524.9776471741,575112.9275070599,464.9334819407992,455.3583482776624,455.90071178873796,446.3001107443639,465.5129584816301,465.17632917881156,465.17632917881156,448.1312431537068
R1336mzz(Z),0.87,2.2,2.1,0.98,0.5,3,0.9145941949963993,0.8679353867247391,1.979389975450228,39.92878843856459,0.874428653165831,0.9042832529342008,0.9290665233886239,0.35269704693166026,0.0,1.0167549418556354,0.3445355621611773,0.33547537642790737,1.0525561294793482,0.1433187723375179,0.20741620887260345,0.3035849692324905,3.0,3.0,1.209814156816142,1.1282040348988276,1.5514327294624763,2.8884310814750624,0.0,2.4282724312564508,1.6993265088340759,0.8649160285289647,0.8984998004946886,0.8984998004946886,0.9257871847044413,1.0940158743432025,1.081083619884809,1.081083619884809,1.0718644900196401,0.2977551676382111,0.83657908290355,0.83657908290355,0.27077851795567554,0.3041847917393306,0.8498155080863781,1113443.0913612505,805834.6299565269,805834.6299565269,565684.1834779609,1161200.0,1135009.8281789904,1135009.8281789904,586645.3879235575,464.30208102176005,455.36616180173104,455.7739617184978,446.30011412284955,465.5129584816301,465.25862597639497,465.25862597639497,448.3118507839266
