epoch,validation_loss_s,validation_loss_T,validation_loss_p,validation_loss_c2
155.0,4.8311088112079255e-06,1.5054521057677888e-06,1.2945000087737135e-07,8.919244465751045e-06
156.0,4.821235410995071e-06,1.4951258705493508e-06,1.3119488139581312e-07,8.847427151954633e-06
157.0,4.811429130760293e-06,1.4848441657105753e-06,1.3281909433258544e-07,8.77748082722502e-06
158.0,4.801635780246426e-06,1.4746010036649395e-06,1.3429505917641364e-07,8.709147996000775e-06
159.0,4.791808269131089e-06,1.4644373270276663e-06,1.3557356160190637e-07,8.642132079814455e-06
160.0,4.781921216660973e-06,1.4544184031265964e-06,1.3662644623438301e-07,8.576230241807723e-06
161.0,4.771958579454803e-06,1.44463318084799e-06,1.3742578630579437e-07,8.511252149922565e-06
162.0,4.7618451741846935e-06,1.4352660626633513e-06,1.3785790638127914e-07,8.446744694655481e-06
163.0,4.751566950967108e-06,1.4264685321580701e-06,1.3786662669917582e-07,8.382515017650434e-06
164.0,4.74115746258754e-06,1.418319407133503e-06,1.3744985719054508e-07,8.318553923909366e-06
165.0,4.730620745029805e-06,1.4108752987063256e-06,1.3659223821881683e-07,8.254830150073326e-06
166.0,4.719945996518313e-06,1.4041407018316987e-06,1.3528023729898833e-07,8.191310775488092e-06
167.0,4.7091699121986824e-06,1.398039115119664e-06,1.3357136747430278e-07,8.128133970323571e-06
168.0,4.698330602303251e-06,1.3924859884723894e-06,1.3151213817495928e-07,8.0654289636377e-06
169.0,4.687466003412141e-06,1.387375573848836e-06,1.291471401828983e-07,8.003314729142253e-06
170.0,4.676616669732212e-06,1.382583818134964e-06,1.2653247102907128e-07,7.94192457412844e-06
171.0,4.665822509406893e-06,1.377981205256254e-06,1.2373001423067122e-07,7.881398575421799e-06
172.0,4.655124167271378e-06,1.3734483511089325e-06,1.2080542412360077e-07,7.821878870141507e-06
173.0,4.644564528373271e-06,1.3688911720571068e-06,1.1782541750717322e-07,7.763496475260006e-06
174.0,4.634186989600083e-06,1.3642496062494992e-06,1.1484692682993528e-07,7.706337748437739e-06
175.0,4.624024989260353e-06,1.3594859396939358e-06,1.1190666947727099e-07,7.650450409330986e-06
176.0,4.614076083351705e-06,1.3545451905313617e-06,1.0902445373502785e-07,7.595925702090698e-06
177.0,4.604305190703686e-06,1.3493610651435774e-06,1.0619328955954849e-07,7.542812088086024e-06
178.0,4.59469036341259e-06,1.3439193205176449e-06,1.0339805987641538e-07,7.491051283777559e-06
179.0,4.585235342646386e-06,1.3382371351729725e-06,1.006410002612156e-07,7.440576652361694e-06
180.0,4.575953168734796e-06,1.332329142453953e-06,9.79351842120843e-08,7.391353026470403e-06
181.0,4.566854128227286e-06,1.3262035368451968e-06,9.529502589380814e-08,7.3433651638359044e-06
182.0,4.557942839158211e-06,1.3198655125208536e-06,9.27331049366251e-08,7.2966042157460966e-06
183.0,4.549218963650517e-06,1.3133196094759705e-06,9.025967700082667e-08,7.251061755231425e-06
184.0,4.540678836416235e-06,1.306571462593897e-06,8.788246239066154e-08,7.206726304195216e-06
185.0,4.532316608502141e-06,1.2996276990345763e-06,8.560622055069717e-08,7.163581523082611e-06
186.0,4.5241253744194934e-06,1.292496492454754e-06,8.343316327886506e-08,7.121606276258173e-06
187.0,4.516097739476498e-06,1.2851871918860515e-06,8.136351064529568e-08,7.0807761108720755e-06
188.0,4.508225907463829e-06,1.2777101986057929e-06,7.939605088689329e-08,7.041064533524875e-06
189.0,4.500501824236177e-06,1.2700764523038276e-06,7.752864376297793e-08,7.0024440375071886e-06
190.0,4.492917068344581e-06,1.2622970939623922e-06,7.575868235510744e-08,6.964887610979828e-06
191.0,4.485463097680892e-06,1.254383074601319e-06,7.408326595678717e-08,6.9283685935887475e-06
192.0,4.478131602757166e-06,1.2463442881871064e-06,7.249913069466771e-08,6.892860363230446e-06
193.0,4.47091424750679e-06,1.238188821601352e-06,7.100291197779285e-08,6.85833549169627e-06
194.0,4.463802312030733e-06,1.2299243194838236e-06,6.95915386450534e-08,6.824766679679873e-06
195.0,4.45678744759441e-06,1.2215581532901452e-06,6.826143790697842e-08,6.7921281325195934e-06
196.0,4.449864188989074e-06,1.2130985339895521e-06,6.700814552890944e-08,6.7603978620759795e-06
197.0,4.44302899037623e-06,1.2045552323171284e-06,6.582899856066223e-08,6.729556390366555e-06
198.0,4.436277882692736e-06,1.1959355049299754e-06,6.47212551116008e-08,6.699578214224955e-06
199.0,4.429606010283593e-06,1.1872375243034104e-06,6.367944290411778e-08,6.670430092246629e-06
200.0,4.423008604962546e-06,1.1784578849961312e-06,6.269763293086632e-08,6.642077881746774e-06
201.0,4.416481610792236e-06,1.1695966388109969e-06,6.177078366026643e-08,6.614488898578176e-06
202.0,4.410022228492396e-06,1.160655824584036e-06,6.089436144787495e-08,6.5876303752729056e-06
203.0,4.403628818278288e-06,1.1516377354191334e-06,6.006393416297744e-08,6.5614684953051025e-06
204.0,4.397300953603215e-06,1.1425440183352968e-06,5.9275172122580254e-08,6.535968287337138e-06
205.0,4.391039249701273e-06,1.1333757173935115e-06,5.852390081506605e-08,6.51109449342028e-06
206.0,4.384845350338593e-06,1.1241338495134365e-06,5.780628102300877e-08,6.48681163285242e-06
207.0,4.378721727756785e-06,1.1148196550924464e-06,5.711881891744715e-08,6.463084826221926e-06
208.0,4.37267153434637e-06,1.1054353748682897e-06,5.6458553232031086e-08,6.439879807508436e-06
209.0,4.366698580193946e-06,1.0959852790991014e-06,5.582309155068066e-08,6.4171635605615635e-06
210.0,4.360806960573603e-06,1.086475871550523e-06,5.521056635230499e-08,6.394904664772813e-06
211.0,4.3550009377249265e-06,1.0769156857250126e-06,5.461960392831811e-08,6.373073479461321e-06
212.0,4.34928480975306e-06,1.0673147828044564e-06,5.4049200096315555e-08,6.3516422156622085e-06
213.0,4.343662827692473e-06,1.057684421907928e-06,5.3498693309679414e-08,6.330584713662429e-06
214.0,4.338139269471283e-06,1.0480373232967577e-06,5.296779805249655e-08,6.309876620854683e-06
215.0,4.332718365272974e-06,1.0383877451352093e-06,5.245655600260142e-08,6.289495351805754e-06
216.0,4.327404354260026e-06,1.028750706793936e-06,5.19652023153267e-08,6.269420157692676e-06
217.0,4.322201337859604e-06,1.0191410588236442e-06,5.14939910112293e-08,6.2496318445863596e-06
218.0,4.317113155917683e-06,1.009573196134784e-06,5.1043193412625755e-08,6.230112579021372e-06
219.0,4.312143337271906e-06,1.0000617812555843e-06,5.0613175694336105e-08,6.210846008295861e-06
220.0,4.3072949831420495e-06,9.90623192325853e-07,5.020456408544011e-08,6.191817132656064e-06
221.0,4.302570587707137e-06,9.812759921859792e-07,4.9818292460741855e-08,6.173012649708229e-06
222.0,4.297972302463115e-06,9.720406751458436e-07,4.9455574769603256e-08,6.154420704170004e-06
223.0,4.293501780875456e-06,9.62937348377713e-07,4.9117589969151555e-08,6.136030202907482e-06
224.0,4.2891604716309004e-06,9.539836871849237e-07,4.880528406987435e-08,6.117830221668365e-06
225.0,4.284949353386516e-06,9.451934039682054e-07,4.8519315222473545e-08,6.099809784668389e-06
226.0,4.280869189664695e-06,9.365767628385014e-07,4.826019224693206e-08,6.081958433352488e-06
227.0,4.276920458776612e-06,9.281411856108398e-07,4.80283207973974e-08,6.064266411354453e-06
228.0,4.273103521607325e-06,9.198917093781502e-07,4.782403803653417e-08,6.046724972590601e-06
229.0,4.269418537606984e-06,9.118318649363154e-07,4.7647604657131155e-08,6.029326132069519e-06
230.0,4.265865558408942e-06,9.039637184398558e-07,4.7499201243340617e-08,6.012062734913018e-06
231.0,4.262444380850369e-06,8.962884855293013e-07,4.737891112782408e-08,5.994928452006043e-06
232.0,4.259154619440599e-06,8.888063907529613e-07,4.728670337154643e-08,5.977917325565765e-06
233.0,4.255995718760717e-06,8.815168181404428e-07,4.722242093025265e-08,5.9610240181939916e-06
234.0,4.252966988369481e-06,8.744185751944729e-07,4.718575145539566e-08,5.944243272313181e-06
235.0,4.250067583291457e-06,8.675095690485289e-07,4.717621113977511e-08,5.927569992544081e-06
236.0,4.247296581264487e-06,8.607873155425988e-07,4.71931227762593e-08,5.910999039353758e-06
237.0,4.244652977440431e-06,8.542486655233072e-07,4.723559442828929e-08,5.894525064719329e-06
238.0,4.242135671299709e-06,8.478901559476882e-07,4.730251628318577e-08,5.878142622259159e-06
239.0,4.239743474792741e-06,8.417077948531633e-07,4.739253821772443e-08,5.8618458679505005e-06
240.0,4.2374751191664925e-06,8.356972841712477e-07,4.750407239099353e-08,5.845628769856345e-06
